# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
14198.3000 A961 20 3 214.3000 Street_9 DENVpatients_0 296 N Street_9->Street_2->Street_8->DENVpatients_0
14238.5000 A977 20 1 10.5000 Street_1 Avenue_19 299 N Street_1->Avenue_19
14272.9000 A965 20 2 225.9000 Street_7 Street_9 296 N Street_7->Street_10->Street_9
14296.6000 A980 20 1 31.6000 Avenue_20 Avenue_14 299 N Avenue_20->Avenue_14
14375.9000 A985 20 1 38.9000 Street_9 Street_10 299 N Street_9->Street_10
14386.3000 A983 20 3 74.3000 Street_8 Street_7 298 N Street_8->Street_5->Street_1->Street_7
14416.0000 A940 20 1 717.0000 Avenue_16 Avenue_19 288 N Avenue_16->Avenue_19
14449.4000 A987 20 1 84.4000 Street_3 Avenue_12 298 N Street_3->Avenue_12
14532.3000 A976 20 3 320.3000 Avenue_15 Street_6 294 N Avenue_15->Avenue_12->Street_1->Street_6
14572.0000 A995 20 2 87.0000 Street_7 Street_9 298 N Street_7->Street_1->Street_9
14616.4000 A994 20 2 145.4000 Street_10 Street_8 297 N Street_10->Street_2->Street_8
14679.9000 A1008 20 1 4.9000 Street_7 Avenue_18 299 N Street_7->Avenue_18
14739.1000 A1000 20 1 186.1000 Street_6 Street_5 296 N Street_6->Street_5
15085.1000 A1036 20 1 0.1000 Street_8 Street_2 299 N Street_8->Street_2
15132.0000 A988 20 4 748.0000 DENVpatients_0 Avenue_15 287 N DENVpatients_0->Street_3->Street_4->Avenue_17->Avenue_15
15163.8000 A1024 20 2 256.8000 Avenue_16 Street_2 295 N Avenue_16->Street_9->Street_2
15180.9000 A1037 20 1 85.9000 Avenue_18 Avenue_19 298 N Avenue_18->Avenue_19
15230.2000 A1043 20 1 49.2000 Street_4 Street_6 299 N Street_4->Street_6
15285.0000 A1049 20 2 18.0000 Avenue_11 Avenue_15 299 N Avenue_11->Avenue_17->Avenue_15
15396.1000 A996 20 2 901.1000 Avenue_12 Avenue_14 284 N Avenue_12->Avenue_16->Avenue_14
15505.4000 A1065 20 2 12.4000 Street_1 Street_4 299 N Street_1->Street_2->Street_4
15583.1000 A1055 20 1 224.1000 Avenue_18 Street_8 296 N Avenue_18->Street_8
15700.5000 A1075 20 2 67.5000 Avenue_12 Street_5 298 N Avenue_12->Street_2->Street_5
15803.1000 A1056 20 3 430.1000 Avenue_19 Street_10 292 N Avenue_19->Street_8->Street_1->Street_10
15878.1000 A1073 20 1 274.1000 Street_6 Street_2 295 N Street_6->Street_2
15892.5000 A1091 20 1 45.5000 Street_4 Street_10 299 N Street_4->Street_10
15931.6000 A1068 20 3 400.6000 Avenue_20 Avenue_13 293 N Avenue_20->Avenue_16->Avenue_11->Avenue_13
15963.8000 A1095 20 1 54.8000 Avenue_20 Street_4 299 N Avenue_20->Street_4
15965.3000 A1098 20 1 16.3000 Street_9 Street_1 299 N Street_9->Street_1
15983.0000 A1089 20 3 163.0000 Street_9 Street_1 297 N Street_9->Street_10->Street_7->Street_1
16172.6000 A1105 20 2 121.6000 Street_5 Street_1 297 N Street_5->Street_9->Street_1
16272.0000 A1116 20 2 70.0000 Street_4 Street_9 298 N Street_4->Street_6->Street_9
16362.6000 A1120 20 2 94.6000 Street_2 Street_5 298 N Street_2->Street_7->Street_5
